,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.33443036675453186,1.031561279296875,17.08,0.09672705542530488
2-3,16.666666666666664,0.0,33.33333333333333,0.0,16.666666666666664,0.0,33.33333333333333,0.3593960702419281,0.050262451171875,20.433333333333334,0.09697792798409731
2-5,83.33333333333334,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.1976375624537468,1.075537109375,18.2,0.09650138315263686
2-7,50.0,0.0,16.666666666666664,0.0,33.33333333333333,0.0,0.0,0.3352258453766505,0.047760009765625,20.766666666666666,0.09671037350429737
2-9,50.0,0.0,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.24589777489503226,0.1158905029296875,19.788888888888888,0.09670947496651879
2-11,50.0,0.0,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.48026183247566223,0.17822265625,19.63333333333333,0.09688821035912235
2-13,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.43162143528461455,3.2571624755859374,18.526666666666667,0.09713569166557641
2-15,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.3468725919723511,0.7645965576171875,18.46,0.09713069454869758
3-1,16.666666666666664,0.0,0.0,0.0,50.0,16.666666666666664,16.666666666666664,0.7585874795913696,3.0151679515838623,17.133333333333333,0.09740411676117
3-3,66.66666666666666,16.666666666666664,0.0,0.0,16.666666666666664,0.0,0.0,0.35983994603157043,0.44994111405685544,17.849999999999998,0.09755274838255357
3-5,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.4451950440804164,0.057895821829636894,19.944444444444443,0.09771690102489691
3-7,66.66666666666666,0.0,0.0,0.0,16.666666666666664,16.666666666666664,0.0,0.2260194830596447,0.04137224284932017,18.64166666666667,0.09751654345009038
3-9,66.66666666666666,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.3382538855075836,1.5887746699154377,19.208333333333332,0.09752503875278362
3-11,50.0,0.0,33.33333333333333,0.0,0.0,16.666666666666664,0.0,0.3613872826099396,0.04597933745632569,17.955555555555556,0.09750985618802703
3-13,50.0,0.0,33.33333333333333,0.0,0.0,16.666666666666664,0.0,0.3581109941005707,0.05734484642744064,17.92222222222222,0.09751113528550766
3-15,66.66666666666666,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.23288017883896828,2.7549685542471707,16.366666666666667,0.09731921727748864
Avg,58.33333333333333,1.0416666666666665,9.374999999999998,0.0,13.541666666666664,5.208333333333332,12.499999999999998,0.3632261108296613,0.9082773487723899,18.619444444444447,0.09717727304554809
