,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1700932383537292,0.7115020751953125,22.0,0.2248497571263994
2-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3029335215687752,0.34814453125,21.48333333333333,0.2275051113462796
2-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3094100952148437,0.493408203125,21.45,0.2222767387948385
2-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2055700719356537,0.3702774047851562,21.883333333333333,0.2255419455735381
2-9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3290468603372574,0.277374267578125,21.9,0.2247173004743585
2-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3847442716360092,0.6180038452148438,21.78333333333333,0.2261201934172557
2-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29194176197052,0.0913314819335937,21.0,0.2257089103546523
2-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3406274318695068,0.1825790405273437,21.78333333333333,0.2238280314665574
3-1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3225593268871307,0.1680274829268455,21.6,0.2239648741613577
3-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4320138245820999,0.4751002565026283,21.450000000000003,0.2235979789640845
3-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181107759475708,0.4855346530675888,21.833333333333336,0.2217960215071171
3-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1961359828710556,0.534453809261322,21.96666666666667,0.2240158813340323
3-9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1787762194871902,0.3070525862276554,21.516666666666666,0.2228067640550525
3-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1961524952203035,0.4438691511750221,21.65,0.2265013418821099
3-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3891063928604126,0.6245716363191605,21.433333333333334,0.2231092511153802
3-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2890498787164688,0.3077644146978855,21.46666666666667,0.2231149783948572
Avg,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28245432081166655,0.4024371774867177,21.6375,0.22434094249799194
