,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,16.666666666666664,0.0,0.0,0.0,83.33333333333334,0.0,0.0,0.8677068948745728,0.0591888427734375,24.7,0.09220515939264536
2-3,16.666666666666664,33.33333333333333,0.0,0.0,0.0,0.0,50.0,0.573194146156311,0.006378173828125,24.833333333333332,0.09204897990805565
2-5,33.33333333333333,16.666666666666664,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.5809262245893478,0.48046875,25.866666666666667,0.0922196406607676
2-7,33.33333333333333,33.33333333333333,0.0,0.0,33.33333333333333,0.0,0.0,0.5452956408262253,0.0694580078125,24.1,0.09209304200420922
2-9,16.666666666666664,0.0,0.0,0.0,33.33333333333333,0.0,50.0,0.42425885796546936,0.0607452392578125,26.5,0.09212610566579152
2-11,0.0,16.666666666666664,16.666666666666664,0.0,16.666666666666664,0.0,50.0,,,,0.09211264328959702
2-13,33.33333333333333,0.0,0.0,0.0,50.0,0.0,16.666666666666664,0.6075230538845062,3.3753738403320312,22.85,0.09206144348913882
2-15,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.48698853453000385,2.6087493896484375,21.555555555555557,0.09216802504238666
3-1,33.33333333333333,16.666666666666664,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.5683220699429512,1.6072920020669699,25.9,0.09211605571015939
3-3,66.66666666666666,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.4746841564774513,2.9680489827878773,20.116666666666667,0.09222995598232768
3-5,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.39492551423609257,0.5912121832370758,23.075,0.09221738895124515
3-7,66.66666666666666,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.3681672737002373,0.0779739657882601,23.591666666666665,0.09206764074947613
3-9,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.5640149191021919,1.986653981730342,23.375000000000004,0.09210484768730665
3-11,0.0,0.0,0.0,0.0,83.33333333333334,0.0,16.666666666666664,,,,0.09235804282185976
3-13,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,33.33333333333333,0.14889992401003838,0.082366943359375,24.4,0.09213309703437765
3-15,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,33.33333333333333,1.0281103253364563,4.817395806312561,25.583333333333332,0.0920551061081319
Avg,35.41666666666666,7.291666666666666,1.0416666666666665,0.0,31.249999999999996,0.0,24.999999999999996,,,,0.09214482340609226
