,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,8.333333333333332,0.0,0.0,0.0,83.33333333333334,0.0,8.333333333333332,0.8104268610477448,0.3404083251953125,20.216666666666665,0.09219544552393708
2-3,8.333333333333332,12.499999999999998,0.0,0.0,4.166666666666666,0.0,75.0,0.38482528179883957,0.00643157958984375,25.58333333333333,0.09208491217506828
2-5,33.33333333333333,25.0,0.0,0.0,25.0,0.0,16.666666666666664,0.4126984539131323,0.8352311452229818,25.486111111111107,0.0921390816335675
2-7,24.999999999999993,37.5,0.0,0.0,33.33333333333333,0.0,4.166666666666666,0.4355364665389061,1.3722705841064453,21.379166666666666,0.09212589877692585
2-9,25.0,8.333333333333332,0.0,0.0,33.33333333333333,0.0,33.33333333333333,0.4269997589290142,2.0366427103678384,24.21388888888889,0.0921063245538224
2-11,4.166666666666666,4.166666666666666,4.166666666666666,0.0,29.166666666666664,0.0,58.333333333333336,0.6750597953796387,5.1332855224609375,24.933333333333334,0.09206269982967447
2-13,33.33333333333333,24.999999999999996,0.0,0.0,33.33333333333333,0.0,8.333333333333332,0.4929730203002691,3.982047080993653,22.333333333333336,0.09209100799846585
2-15,54.16666666666666,0.0,0.0,0.0,8.333333333333332,0.0,37.5,0.4391200382572909,1.5367822647094724,22.168055555555558,0.09208276145544946
3-1,41.666666666666664,8.333333333333332,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.4671912845224142,0.9532098437533325,23.195833333333333,0.09203933174709497
3-3,49.99999999999999,12.499999999999998,0.0,0.0,24.999999999999993,0.0,12.499999999999998,0.3596160477027297,1.1669141162419692,20.316666666666666,0.09222775942006813
3-5,45.83333333333332,16.666666666666664,0.0,0.0,33.33333333333333,0.0,4.166666666666666,0.41382302762940526,0.690452509370516,23.15833333333333,0.0921385562444095
3-7,50.0,4.166666666666666,0.0,0.0,29.166666666666664,0.0,16.666666666666664,0.33472875940303004,0.06747973153445247,24.302083333333332,0.09212336056478167
3-9,45.83333333333333,8.333333333333332,4.166666666666666,0.0,20.83333333333333,0.0,20.83333333333333,0.398260531326135,0.5479218376179537,25.338194444444444,0.09208739876292488
3-11,24.999999999999996,8.333333333333332,0.0,0.0,45.83333333333333,0.0,20.83333333333333,0.47435292104880017,0.0494578766326109,25.472222222222218,0.0921449641005753
3-13,33.33333333333333,0.0,0.0,0.0,41.66666666666666,0.0,24.999999999999996,0.4359273435547948,1.2257409212179484,24.629166666666666,0.09212102753801987
3-15,29.166666666666664,8.333333333333332,0.0,0.0,37.5,0.0,25.0,0.710405827810367,3.2551237223669887,23.3625,0.09209542276246042
Avg,32.03125,11.197916666666666,0.5208333333333333,0.0,31.249999999999996,0.0,24.999999999999996,0.479496588697657,1.449962485711391,23.505555555555553,0.09211662206795286
