,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,3.4020690871988584,0.0,0.0,0.0,0.0,0.0,3.4020690871988584,0.02338447588751478,0.11480737294386285,1.8303131689129861,5.7300936772278364e-05
2-3,3.4020690871988584,5.64169333655275,0.0,0.0,2.9462782549439477,0.0,7.607257743127309,0.07690126685055704,2.180281092260011e-05,0.3061862178478973,2.7945217242755114e-05
2-5,4.811252243246882,5.892556509887897,0.0,0.0,5.892556509887896,0.0,4.811252243246881,0.05774809914428239,0.4390863697200699,0.8615970850908428,2.9643377289924865e-05
2-7,3.4020690871988584,5.641693336552752,0.0,0.0,4.811252243246882,0.0,2.9462782549439477,0.04103992452159291,0.9297174047887625,0.9978144519676774,4.3148127600357425e-05
2-9,5.892556509887897,5.892556509887895,0.0,0.0,9.622504486493762,0.0,6.804138174397718,0.048670206644519654,1.4120040021160598,0.5666156022743645,2.5148741659815865e-05
2-11,2.9462782549439477,2.9462782549439477,2.9462782549439477,0.0,5.641693336552751,0.0,5.892556509887898,0.0,0.0,0.0,3.068752524796405e-05
2-13,8.333333333333334,5.892556509887895,0.0,0.0,8.333333333333336,0.0,3.4020690871988584,0.06375432562273098,1.5009907716191953,1.33828075169987,2.458325219623115e-05
2-15,5.64169333655275,0.0,0.0,0.0,5.892556509887895,0.0,2.946278254943949,0.03458961152898612,0.5556769355294846,0.787940181700535,2.4164660006906317e-05
3-1,3.4020690871988597,3.4020690871988584,0.0,0.0,0.0,0.0,0.0,0.057508175449382234,0.38424990104081735,0.7182285861442251,2.021878587812833e-05
3-3,6.804138174397717,5.64169333655275,0.0,0.0,3.4020690871988584,0.0,5.64169333655275,0.04137897891096263,0.5001598536786379,0.32450104148665776,5.408398807405438e-05
3-5,8.838834764831843,4.811252243246881,0.0,0.0,6.804138174397718,0.0,2.9462782549439477,0.08002014660814213,0.34203876257343413,0.2725586073571055,2.112060170260069e-05
3-7,4.811252243246881,2.9462782549439477,0.0,0.0,2.9462782549439477,0.0,4.811252243246881,0.05289564285894468,0.005149863853879897,0.4065068236953789,5.6151562313542936e-05
3-9,5.64169333655275,5.892556509887895,2.9462782549439477,0.0,2.9462782549439477,0.0,2.9462782549439477,0.04004676027088807,0.33913014667414687,0.6677914773160295,9.11832935523367e-06
3-11,7.607257743127307,3.4020690871988584,0.0,0.0,10.063456073742667,0.0,7.414637675021744,0.011966543670471567,0.004908135816974378,0.9222278000723776,5.118355300004509e-05
3-13,0.0,0.0,0.0,0.0,5.892556509887895,0.0,5.892556509887895,0.08526702495375056,0.569367062084612,0.43981201266163905,5.300051112658771e-05
3-15,5.641693336552751,3.4020690871988584,0.0,0.0,2.9462782549439495,0.0,7.607257743127307,0.12160301898555921,0.8563076612171007,1.3201989801625444,3.690052495950338e-05
Avg,5.036141226591844,3.837832628996324,0.36828478186799346,0.0,4.883826830275341,0.0,4.691990835791868,0.052298387619267805,0.4971010029042476,0.7350357992743832,3.5274980901620584e-05
