,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3912561809023221,0.07376352945963542,20.427777777777777,0.09389489827907249
2-3,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.3653712272644043,1.3122406005859375,18.593333333333334,0.09375737733221193
2-5,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.3383005976676941,0.0339263916015625,20.36,0.09353091292733313
2-7,66.66666666666666,16.666666666666664,0.0,0.0,16.666666666666664,0.0,0.0,0.2203812599182129,0.047725677490234375,20.450000000000003,0.09385757888800562
2-9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3699428364634514,0.6512247721354166,20.033333333333335,0.09363236965941046
2-11,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.40197492837905885,0.0571380615234375,20.733333333333334,0.09353254913566242
2-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4292704562346141,0.4971720377604167,19.266666666666666,0.09425315331457308
2-15,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.2707353048026562,0.035369873046875,19.475,0.09341782002361274
3-1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3699083626270294,0.08717405050992966,21.98888888888889,0.09402454692852667
3-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3168486033876737,0.04121718897173802,20.3,0.09333572095334015
3-5,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.30958874225616456,0.04661888536065817,23.86,0.09302594596906452
3-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3527781714995702,0.9913408352682987,21.016666666666666,0.09355405741642399
3-9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30813979481657344,0.1140900074193875,21.777777777777782,0.09391454282479408
3-11,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.314983543753624,0.707365595549345,22.446666666666665,0.09418940194541059
3-13,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.37761664018034935,1.0092196445912123,20.54,0.09348898572245921
3-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40028540790081024,1.4005727544426918,21.033333333333335,0.09387013091091298
Avg,89.58333333333334,2.083333333333333,1.0416666666666665,0.0,4.166666666666666,0.0,3.1249999999999996,0.3460863786283881,0.4441349941072986,20.768923611111113,0.09370499951442589
