,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3820745777338743,0.17204284667968747,20.130555555555556,0.093968574111512
2-3,87.5,0.0,8.333333333333332,0.0,4.166666666666666,0.0,0.0,0.3756216319898764,0.7374980926513672,18.950555555555553,0.09368456563372257
2-5,83.33333333333334,0.0,8.333333333333332,0.0,8.333333333333332,0.0,0.0,0.34029621407389643,0.3670829772949219,20.306666666666665,0.09313935271368336
2-7,87.5,4.166666666666666,0.0,0.0,4.166666666666666,0.0,4.166666666666666,0.29954593206445373,0.35368671417236325,19.537222222222223,0.09357667253233609
2-9,87.5,0.0,0.0,8.333333333333332,0.0,0.0,4.166666666666666,0.319359789788723,0.5320994059244792,20.15833333333333,0.09365143983896974
2-11,70.83333333333334,12.499999999999998,0.0,0.0,8.333333333333332,0.0,8.333333333333332,0.46453573815524574,1.2455369313557942,19.56347222222222,0.09328421903069362
2-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39581074565649027,0.8548812866210938,18.922222222222224,0.09375827778448283
2-15,83.33333333333334,0.0,4.166666666666666,0.0,8.333333333333332,0.0,4.166666666666666,0.27656579980005824,0.44237937927246096,19.475416666666668,0.09323058700084971
3-1,87.5,0.0,0.0,0.0,12.499999999999998,0.0,0.0,0.37671594750136134,0.6337093546598529,23.101111111111113,0.09363451476391665
3-3,95.83333333333334,0.0,0.0,0.0,4.166666666666666,0.0,0.0,0.26001187625030675,0.21122615381900683,20.595,0.09332450778710955
3-5,91.66666666666667,0.0,0.0,0.0,4.166666666666666,0.0,4.166666666666666,0.33958234426875905,0.3440511561901075,22.296388888888888,0.09285583649313131
3-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3295307991405328,0.3330768466112204,22.115277777777777,0.09327651135535302
3-9,95.83333333333334,0.0,0.0,0.0,4.166666666666666,0.0,0.0,0.3292445292075475,0.2998207268091695,22.531388888888888,0.09342344133004908
3-11,91.66666666666667,4.166666666666666,0.0,0.0,0.0,0.0,4.166666666666666,0.3722625152518352,0.4506428334085891,21.025,0.09377505733031243
3-13,87.5,0.0,0.0,0.0,4.166666666666666,0.0,8.333333333333332,0.33701533762117225,0.28307876729134784,22.139166666666668,0.09304772989335904
3-15,95.83333333333334,0.0,0.0,0.0,0.0,0.0,4.166666666666666,0.317319982436796,0.8435051093343645,21.60722222222222,0.09360995961828725
Avg,90.36458333333334,1.302083333333333,1.302083333333333,0.5208333333333333,3.906249999999999,0.0,2.604166666666666,0.34471836005880807,0.5065199113809892,20.7784375,0.09345257795111052
