,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02826371401007058,0.05190346534024445,0.2517301244498866,5.573831268122056e-05
2-3,2.9462782549439464,0.0,3.4020690871988584,0.0,2.9462782549439477,0.0,0.0,0.021616292047949053,0.18992410708770832,0.1014288353574824,9.202001995443591e-05
2-5,0.0,0.0,3.4020690871988584,0.0,3.4020690871988584,0.0,0.0,0.012902482961756142,0.14652253604197948,0.29006384993141965,0.00010434777748193584
2-7,5.641693336552752,2.9462782549439477,0.0,0.0,2.9462782549439477,0.0,2.9462782549439477,0.021797506510834848,0.1204342048324103,0.3247171133520748,8.111204318014005e-05
2-9,2.9462782549439464,0.0,0.0,3.4020690871988584,0.0,0.0,2.9462782549439477,0.029449426872720792,0.15029214909030308,0.4155780222684944,4.650495491129771e-05
2-11,5.641693336552753,5.64169333655275,0.0,0.0,3.4020690871988584,0.0,3.4020690871988584,0.021819943835717077,0.33356965560607454,0.37667999454050743,0.0001032643499656019
2-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011030485673482212,0.16991997888961063,0.28221000994283346,0.0001332259194492071
2-15,4.811252243246884,0.0,2.9462782549439477,0.0,3.4020690871988584,0.0,2.9462782549439477,0.017238216787110787,0.19262625766086652,0.1734437248632663,8.005226835463205e-05
3-1,5.641693336552752,0.0,0.0,0.0,5.641693336552749,0.0,0.0,0.02951712344266328,0.2330934355184125,0.3221473412353744,0.00011581351827332414
3-3,2.9462782549439464,0.0,0.0,0.0,2.9462782549439477,0.0,0.0,0.01708371273391908,0.08641121723455175,0.16145604837092814,6.890193530077781e-05
3-5,3.402069087198857,0.0,0.0,0.0,2.9462782549439477,0.0,2.9462782549439477,0.018124840873361178,0.21309495263500766,0.5753305880046942,6.447776356248754e-05
3-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008362176692906051,0.15818969589730894,0.2668805806752598,7.88652917660952e-05
3-9,2.9462782549439464,0.0,0.0,0.0,2.9462782549439477,0.0,0.0,0.023938028901956475,0.17093164705417532,0.37164941760892417,0.00015360956920216815
3-11,3.402069087198857,2.9462782549439477,0.0,0.0,0.0,0.0,2.9462782549439477,0.027404042520512838,0.10461844750678484,0.4825948487767391,0.00010957238313687581
3-13,5.641693336552752,0.0,0.0,0.0,2.9462782549439477,0.0,3.4020690871988584,0.009824308679376175,0.17115574808068199,0.4138777496636743,0.00011408067211604741
3-15,2.9462782549439464,0.0,0.0,0.0,0.0,0.0,2.9462782549439477,0.02652360367196353,0.15161263406967684,0.39273671795444576,0.00011130586730840727
Avg,3.0570971899109587,0.7208906154025404,0.609401026833854,0.21262931794992865,2.0953481329883132,0.0,1.5301129815038377,0.020305994138518753,0.16526875828411233,0.32515781043725034,9.455579041529091e-05
