,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.3444261312484741,0.4489166259765625,19.12666666666667,0.09002082636210032
2-3,66.66666666666666,0.0,0.0,0.0,16.666666666666664,16.666666666666664,0.0,0.41574034467339516,1.3456039428710938,17.275,0.0896648097279539
2-5,16.666666666666664,0.0,16.666666666666664,16.666666666666664,50.0,0.0,0.0,0.26417186856269836,0.047149658203125,16.3,0.08988895344080064
2-7,33.33333333333333,0.0,16.666666666666664,0.0,50.0,0.0,0.0,0.31701646745204926,2.0957870483398438,14.899999999999999,0.08988473097323893
2-9,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.4311104640364647,0.26883697509765625,16.3,0.08989562826992012
2-11,66.66666666666666,0.0,16.666666666666664,0.0,0.0,16.666666666666664,0.0,0.27500931546092033,4.116573333740234,20.23333333333333,0.08976182675829121
2-13,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.34778040945529937,0.0775390625,17.133333333333333,0.08981468200683594
2-15,50.0,16.666666666666664,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.5009808888038,2.4915974934895835,18.91111111111111,0.08982315875481868
3-1,33.33333333333333,16.666666666666664,0.0,0.0,16.666666666666664,16.666666666666664,16.666666666666664,0.23941461741924286,1.6271133050322533,17.166666666666664,0.08984367914133139
3-3,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.33608776032924653,1.1078249625861645,18.359999999999996,0.08985978387694323
3-5,66.66666666666666,0.0,0.0,0.0,16.666666666666664,16.666666666666664,0.0,0.404592365026474,1.7355289850383997,18.34166666666667,0.08963772436467612
3-7,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.466936357319355,0.0432840958237648,18.333333333333332,0.08966307960399965
3-9,66.66666666666666,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.4401651844382286,0.06424619117751718,18.741666666666667,0.08989238056670937
3-11,50.0,16.666666666666664,0.0,0.0,33.33333333333333,0.0,0.0,0.35797421634197235,0.0316100058456262,19.677777777777777,0.08979685473484882
3-13,66.66666666666666,16.666666666666664,0.0,0.0,16.666666666666664,0.0,0.0,0.3661405500024557,0.1729154963977635,19.075000000000003,0.08973867561842991
3-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4553258816401164,1.3687985554958384,20.97222222222222,0.09009478431657192
Avg,61.45833333333333,4.166666666666666,8.333333333333332,1.0416666666666665,16.666666666666664,4.166666666666666,4.166666666666666,0.372679551388137,1.0652078586009641,18.17798611111111,0.08983009865734187
