,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,7.607257743127309,5.892556509887895,3.4020690871988584,0.0,2.9462782549439477,2.9462782549439477,0.0,0.03334902188205273,0.06986194173165257,0.308841922888285,2.5493891130312663e-05
2-3,7.607257743127309,0.0,2.9462782549439477,0.0,4.811252243246881,2.9462782549439477,0.0,0.034739768881086715,0.3506311887102941,0.4851123171620617,2.0338194569965117e-05
2-5,7.414637675021744,2.9462782549439477,2.9462782549439477,2.9462782549439477,3.4020690871988597,0.0,0.0,0.039269821899094934,0.0028446121830869673,0.483983023729377,3.7459581544434626e-05
2-7,4.811252243246881,0.0,2.9462782549439477,0.0,5.892556509887897,2.9462782549439477,0.0,0.0236676699972481,0.3052433242491314,0.6782303318945945,1.938197724078116e-05
2-9,3.402069087198857,2.9462782549439477,2.9462782549439477,0.0,5.64169333655275,0.0,2.9462782549439477,0.018196921603042177,0.035915623263494637,0.0953574469848753,3.7655033606126994e-05
2-11,2.9462782549439464,0.0,7.414637675021744,0.0,2.9462782549439477,3.4020690871988584,5.64169333655275,0.015441751910806614,0.686140975672508,0.6662691716217238,2.4154298474146216e-05
2-13,7.607257743127309,4.811252243246881,0.0,0.0,4.811252243246881,0.0,3.4020690871988584,0.03352951929115227,0.4308934884634718,0.11011817620847808,1.904557571630334e-05
2-15,7.607257743127307,3.4020690871988584,0.0,2.9462782549439477,3.4020690871988584,0.0,7.414637675021744,0.05593435122859549,0.4207831843840419,0.332175361336467,1.6786662663789935e-05
3-1,3.4020690871988584,2.9462782549439477,0.0,0.0,7.414637675021744,5.641693336552749,2.9462782549439477,0.034215689970330705,0.2801519721306055,0.8096281153623462,6.375767348728414e-05
3-3,7.607257743127309,2.9462782549439477,0.0,0.0,5.64169333655275,0.0,0.0,0.02784689165257406,0.1836205907628573,0.40709447288169237,3.0842589615365863e-05
3-5,4.811252243246884,0.0,0.0,0.0,2.9462782549439477,2.9462782549439477,0.0,0.025662045064883465,0.27960589192342866,0.36498838610391504,6.0437970241797465e-05
3-7,3.402069087198857,2.9462782549439477,8.333333333333336,0.0,4.811252243246881,2.9462782549439477,0.0,0.02694060815977225,0.004596767963861827,0.1200977370110911,3.198136533176938e-05
3-9,10.063456073742667,0.0,2.9462782549439477,0.0,5.64169333655275,2.9462782549439477,3.4020690871988584,0.07373916098835175,0.01539370160583082,0.5661628428140917,3.568731462761002e-05
3-11,7.414637675021744,3.4020690871988584,0.0,0.0,5.64169333655275,0.0,0.0,0.02538738563958539,0.10716206030286987,0.49974297341778934,2.5447614388018327e-05
3-13,5.892556509887895,3.4020690871988584,0.0,0.0,2.9462782549439477,0.0,5.64169333655275,0.030703365685035195,0.10434504613688173,0.28192562881934824,4.241999400973886e-05
3-15,2.9462782549439464,0.0,0.0,0.0,2.9462782549439477,0.0,0.0,0.03566358803471231,0.7114836642752292,0.11350222301624656,6.440317174168191e-05
Avg,5.9089278067055515,2.227587955590693,2.1175894606421046,0.36828478186799346,4.490203356873671,1.6700894970884559,1.9621699395258037,0.03339297261802026,0.2492921271099529,0.39520188320327393,3.470580677432038e-05
