,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,50.0,16.666666666666664,0.0,0.0,0.0,0.0,33.33333333333333,0.22939486304918924,0.058970133463541664,18.744444444444444,0.08858057453825667
2-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26258935282627743,1.3463516235351562,19.811111111111114,0.08843394889966458
2-5,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.2938660055398941,0.5230712890625,19.346666666666668,0.088367926210922
2-7,83.33333333333334,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.19634312391281128,1.1834686279296875,18.546666666666663,0.08835878803719223
2-9,66.66666666666666,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.27308380231261253,0.8047256469726562,18.191666666666666,0.08835272072432643
2-11,66.66666666666666,0.0,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.26089941896498203,0.3966941833496094,18.116666666666667,0.08842197042269284
2-13,66.66666666666666,0.0,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.38928841426968575,1.3088111877441406,20.608333333333334,0.08830702043645325
2-15,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.2911556102335453,0.9547767639160156,17.28333333333333,0.08847560548336707
3-1,33.33333333333333,0.0,0.0,0.0,16.666666666666664,16.666666666666664,33.33333333333333,0.27072957903146744,0.04709359630942345,19.9,0.08827097880035592
3-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23998005936543146,0.02429128686587016,20.81111111111111,0.0885108424073803
3-5,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.45325204233328503,0.972913874934117,19.266666666666666,0.08837275761118292
3-7,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.6115891337394714,1.5792398191988468,17.01111111111111,0.08837859902040998
3-9,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.2742482915520668,0.026544876955449583,20.660000000000004,0.08843880059019175
3-11,33.33333333333333,0.0,0.0,0.0,16.666666666666664,0.0,50.0,0.3957434222102165,0.3180069401860237,22.816666666666666,0.08833723920442796
3-13,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.19378596916794777,0.023168620886281133,21.25,0.0884426875918885
3-15,50.0,16.666666666666664,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.19425037999947867,0.020641787637335558,22.477777777777778,0.08835452136993409
Avg,65.625,2.083333333333333,2.083333333333333,0.0,14.583333333333332,2.083333333333333,13.541666666666666,0.3018874667817727,0.599298141184166,19.677638888888886,0.08840031133429041
