,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,70.83333333333334,4.166666666666666,0.0,0.0,4.166666666666666,0.0,20.83333333333333,0.4011330788334211,0.40128059387207027,19.955277777777773,0.0886263789217496
2-3,95.83333333333334,0.0,0.0,0.0,4.166666666666666,0.0,0.0,0.3180842688928047,1.1445213317871095,19.068611111111114,0.0884024971818034
2-5,75.0,4.166666666666666,4.166666666666666,0.0,16.666666666666664,0.0,0.0,0.2948473254839579,0.3458338419596354,19.851666666666667,0.08844080366841646
2-7,79.16666666666667,0.0,0.0,4.166666666666666,12.499999999999998,4.166666666666666,0.0,0.2799460407346487,0.45956897735595703,19.00916666666667,0.08837348199055428
2-9,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.3314235555008053,0.525151252746582,19.785416666666666,0.08840718831635197
2-11,62.49999999999999,0.0,12.499999999999998,0.0,16.666666666666664,0.0,8.333333333333332,0.3419866858360668,0.48189353942871094,17.800694444444446,0.08841434486776441
2-13,62.49999999999999,0.0,16.666666666666664,0.0,12.499999999999998,0.0,8.333333333333332,0.27508694709589077,0.7916358311971028,18.956249999999997,0.08842377995014468
2-15,75.0,0.0,0.0,0.0,16.666666666666664,0.0,8.333333333333332,0.2847904104118546,0.8877773920694987,18.877777777777776,0.08867195236701383
3-1,58.33333333333333,0.0,0.0,0.0,8.333333333333332,16.666666666666664,16.666666666666664,0.310090193276604,1.6731980401401718,19.808194444444446,0.0887675700045384
3-3,95.83333333333334,0.0,0.0,0.0,4.166666666666666,0.0,0.0,0.29111568282047906,0.027585824070653527,21.50888888888889,0.08895499107694316
3-5,66.66666666666667,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.3413479261100292,0.36379090227322497,20.670555555555556,0.08854235214195928
3-7,41.666666666666664,0.0,8.333333333333332,0.0,45.83333333333333,0.0,4.166666666666666,0.4252059981226921,1.0791629215236753,19.6,0.08853235299248521
3-9,70.83333333333334,0.0,0.0,0.0,20.83333333333333,0.0,8.333333333333332,0.2425491339837511,0.4786585890105926,20.679444444444442,0.08881987798618225
3-11,49.999999999999986,0.0,4.166666666666666,0.0,20.83333333333333,0.0,25.0,0.32588740438222885,0.1725433924839308,21.575,0.08848199095311615
3-13,62.49999999999999,4.166666666666666,0.0,0.0,20.83333333333333,0.0,12.499999999999998,0.2622656852006912,0.410942436940968,21.001666666666665,0.08853105090959368
3-15,50.0,4.166666666666666,4.166666666666666,0.0,16.666666666666664,0.0,24.999999999999993,0.2316712321092685,0.5575645088999105,22.463194444444444,0.0884836362774268
Avg,67.70833333333334,1.0416666666666665,3.1249999999999996,0.26041666666666663,16.92708333333333,1.302083333333333,9.635416666666664,0.3098394730496996,0.6125693359849871,20.038237847222224,0.08855464060037771
