,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,8.838834764831846,2.9462782549439477,0.0,0.0,2.9462782549439477,0.0,5.64169333655275,0.04089184365092054,0.16355892457444243,0.4843933007959201,0.00010255419971649339
2-3,2.9462782549439464,0.0,0.0,0.0,2.9462782549439477,0.0,0.0,0.01610040953944823,0.16405401686672447,0.21533502822977116,3.607420072608549e-05
2-5,5.892556509887898,2.9462782549439477,2.9462782549439477,0.0,4.811252243246881,0.0,0.0,0.0012945103364488929,0.07662902584241907,0.5996677320724277,1.81720518709702e-05
2-7,2.9462782549439517,0.0,0.0,2.9462782549439477,2.9462782549439477,2.9462782549439477,0.0,0.02600170698304029,0.1757714508930277,0.29272249372628234,4.4269824660576316e-05
2-9,0.0,0.0,0.0,0.0,4.811252243246881,0.0,4.811252243246881,0.0460070141504442,0.1702180066185161,0.421502321673234,4.089240131566599e-05
2-11,2.9462782549439464,0.0,2.9462782549439477,0.0,4.811252243246881,0.0,5.892556509887895,0.03316398730096631,0.2317484641751226,0.09460897637377674,4.1899469918657467e-05
2-13,2.9462782549439464,0.0,0.0,0.0,2.9462782549439477,0.0,3.4020690871988584,0.027070072323816592,0.24298570854343982,0.5360357693893335,9.283566339970193e-05
2-15,7.607257743127309,0.0,0.0,0.0,4.811252243246881,0.0,3.4020690871988584,0.009679542176795501,0.14694082866474753,0.4159345419773131,0.00019292571293276102
3-1,7.607257743127309,0.0,0.0,0.0,3.4020690871988584,0.0,4.811252243246881,0.037034441331209936,0.5052144736353751,0.27850115879028337,0.00019233134150616667
3-3,2.9462782549439464,0.0,0.0,0.0,2.9462782549439477,0.0,0.0,0.017611058530388305,0.0028940594458926002,0.41593812851068535,0.00029409024572894695
3-5,6.804138174397719,0.0,0.0,0.0,6.804138174397718,0.0,0.0,0.04212030522344008,0.15448679553419045,0.4122598440454103,9.7521767481709e-05
3-7,3.4020690871988597,0.0,3.4020690871988584,0.0,2.946278254943949,0.0,2.9462782549439477,0.05119924191220422,0.21490886897334072,1.026971655837202,8.451303337676588e-05
3-9,5.641693336552752,0.0,0.0,0.0,5.64169333655275,0.0,3.4020690871988584,0.011176478421408282,0.21281268397757008,0.19918700500525321,0.0001740758281821861
3-11,6.804138174397717,0.0,2.9462782549439477,0.0,5.64169333655275,0.0,7.607257743127307,0.018234715362403807,0.05786371398011517,0.550888381851768,7.027450138734919e-05
3-13,7.414637675021746,2.9462782549439477,0.0,0.0,2.9462782549439477,0.0,5.64169333655275,0.047171377870159466,0.1674145975565758,0.16982152941206244,6.952930261835918e-05
3-15,4.811252243246881,2.9462782549439477,2.9462782549439477,0.0,0.0,0.0,3.4020690871988584,0.013237020715761381,0.23277902056665603,0.3793653452815865,0.00011123407517984348
Avg,4.972201670406861,0.7365695637359869,0.9491988816859156,0.18414239093399673,3.8349094182685772,0.18414239093399673,3.185016251022115,0.027374607864303502,0.18251753999050974,0.4058208258107694,0.00010394960125013989
