,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,33.33333333333333,16.666666666666664,0.0,0.0,0.0,16.666666666666664,33.33333333333333,0.27069660276174545,0.6744003295898438,21.95,0.15749879692191346
2-3,0.0,0.0,0.0,16.666666666666664,66.66666666666666,0.0,16.666666666666664,,,,0.15732543972524995
2-5,16.666666666666664,0.0,0.0,0.0,66.66666666666666,0.0,16.666666666666664,0.7901083827018738,0.0840911865234375,24.8,0.15726399684895478
2-7,0.0,33.33333333333333,16.666666666666664,0.0,33.33333333333333,0.0,16.666666666666664,,,,0.15718464274526783
2-9,50.0,0.0,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.4495554069677989,0.795440673828125,18.366666666666664,0.1572621750716054
2-11,16.666666666666664,0.0,0.0,16.666666666666664,50.0,0.0,16.666666666666664,0.4123518168926239,2.3542327880859375,19.2,0.15733963272631815
2-13,66.66666666666666,16.666666666666664,0.0,0.0,16.666666666666664,0.0,0.0,0.4560093581676483,0.06904983520507812,19.466666666666665,0.15735301766589035
2-15,66.66666666666666,16.666666666666664,0.0,0.0,0.0,0.0,16.666666666666664,0.42718376964330673,1.3534889221191406,20.2,0.1571230502091637
3-1,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.47733275095621747,3.5274430538217225,18.844444444444445,0.1572075607384812
3-3,66.66666666666666,16.666666666666664,0.0,0.0,16.666666666666664,0.0,0.0,0.5436670556664467,1.4622249973472208,21.200000000000003,0.15741684857536764
3-5,16.666666666666664,16.666666666666664,0.0,0.0,50.0,0.0,16.666666666666664,0.5696591734886169,0.11229877918958664,25.4,0.15728630771884672
3-7,33.33333333333333,33.33333333333333,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.30628903582692146,0.020346983801573515,22.9,0.15727786712540298
3-9,66.66666666666666,0.0,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.5750722214579582,2.140228549367748,21.941666666666666,0.15715185380002708
3-11,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.2584429954489072,1.422519853959481,22.2,0.1574997083488247
3-13,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.33016350120306015,0.06622072053141892,24.866666666666667,0.15722018113711972
3-15,66.66666666666666,16.666666666666664,0.0,0.0,0.0,0.0,16.666666666666664,0.38836585730314255,2.4843731893924996,23.849999999999998,0.15742897799902938
Avg,41.666666666666664,10.416666666666664,2.083333333333333,2.083333333333333,26.041666666666664,1.0416666666666665,16.666666666666664,,,,0.15730250358484144
