,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,45.83333333333333,4.166666666666666,0.0,0.0,16.666666666666664,8.333333333333332,24.999999999999993,0.4596649091690779,0.2274427413940429,21.59375,0.15853080263822938
2-3,8.333333333333332,0.0,16.666666666666664,4.166666666666666,49.99999999999999,0.0,20.83333333333333,0.43657973408699036,3.1041946411132812,19.266666666666666,0.15843801404507085
2-5,37.5,0.0,0.0,0.0,58.33333333333333,0.0,4.166666666666666,0.4944013624141613,0.1714522043863932,21.044444444444444,0.1585060758056416
2-7,12.499999999999998,37.5,4.166666666666666,0.0,37.5,0.0,8.333333333333332,0.7263763025403023,0.08910369873046875,19.975,0.15875378704107604
2-9,41.666666666666664,0.0,8.333333333333332,0.0,24.999999999999993,0.0,24.999999999999993,0.44695690646767616,0.31340090433756507,20.68611111111111,0.15956933126563916
2-11,16.666666666666664,4.166666666666666,8.333333333333332,4.166666666666666,29.166666666666664,0.0,37.5,0.5688041051228842,1.8683725992838542,18.766666666666666,0.15958442220800723
2-13,58.33333333333333,16.666666666666664,8.333333333333332,0.0,16.666666666666664,0.0,0.0,0.5250765060385068,0.7553478876749674,19.87569444444444,0.1594995896909444
2-15,49.99999999999999,8.333333333333332,8.333333333333332,4.166666666666666,8.333333333333332,0.0,20.83333333333333,0.34450248442590237,1.752871831258138,18.803472222222222,0.15945658534926355
3-1,41.666666666666664,0.0,0.0,0.0,41.666666666666664,4.166666666666666,12.499999999999998,0.4563214108347892,2.2180581619031727,19.584722222222226,0.15946867019501734
3-3,70.83333333333334,12.499999999999998,0.0,0.0,16.666666666666664,0.0,0.0,0.44859728453059994,1.5188588153609697,20.86277777777778,0.15955119363557027
3-5,24.999999999999993,16.666666666666664,0.0,0.0,37.5,4.166666666666666,16.666666666666664,0.5599154954155285,0.05343179854874808,23.211111111111112,0.15952121338160088
3-7,54.16666666666667,20.83333333333333,8.333333333333332,0.0,12.499999999999998,0.0,4.166666666666666,0.37025571558624504,0.29605816764912257,22.43388888888889,0.15950985956504468
3-9,62.49999999999999,8.333333333333332,4.166666666666666,0.0,16.666666666666664,0.0,8.333333333333332,0.6094847982749343,1.4622525072869998,22.316666666666666,0.15950875419565758
3-11,54.166666666666664,8.333333333333332,0.0,0.0,8.333333333333332,0.0,29.16666666666666,0.3675872478634119,1.0366104037190478,22.62777777777778,0.15960969934388297
3-13,49.99999999999999,0.0,0.0,0.0,29.166666666666664,0.0,20.83333333333333,0.40468679927289486,0.7196628163219428,22.51875,0.15956939772208506
3-15,54.166666666666664,8.333333333333332,0.0,0.0,16.666666666666664,0.0,20.83333333333333,0.40075662173330784,1.7890795160104367,22.415277777777778,0.15956645844156
Avg,42.708333333333336,9.114583333333332,4.166666666666666,0.7812499999999999,26.302083333333332,1.0416666666666665,15.885416666666664,0.47624798023607584,1.086012418436197,20.998923611111113,0.1592902409077682
