,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,8.838834764831843,2.9462782549439477,0.0,0.0,4.811252243246881,3.4020690871988584,3.4020690871988584,0.04597123114552214,0.10634867361686849,0.1926811166966854,0.0007856789838082641
2-3,3.4020690871988584,0.0,8.333333333333336,2.9462782549439477,8.333333333333334,0.0,2.9462782549439477,0.0462118729225111,0.2548717449979206,0.6804138174397715,0.0008022361072863928
2-5,5.641693336552752,0.0,0.0,0.0,3.402069087198857,0.0,2.9462782549439477,0.08223733752587269,0.04189755595467271,0.8962025509591451,0.0007941178449417913
2-7,5.641693336552749,2.946278254943949,2.9462782549439477,0.0,2.946278254943949,0.0,3.4020690871988584,0.06562755284258454,0.01387593180859764,0.051031036307982884,0.0007924423272450611
2-9,3.4020690871988597,0.0,3.4020690871988584,0.0,3.4020690871988584,0.0,3.4020690871988584,0.0429827054447552,0.11559057084724006,0.6227025675668291,0.000938719184556302
2-11,4.811252243246881,2.9462782549439477,3.4020690871988584,2.9462782549439477,5.641693336552751,0.0,5.641693336552752,0.04796523017603156,0.5472449081552165,0.48850995415512444,0.0009288018043403256
2-13,3.402069087198857,4.811252243246881,3.4020690871988584,0.0,4.811252243246881,0.0,0.0,0.036664742684747134,0.47660453783069073,0.3242070246466702,0.0008651664898065982
2-15,8.333333333333334,3.4020690871988584,3.4020690871988584,2.9462782549439477,3.4020690871988584,0.0,2.9462782549439477,0.02337707598900309,0.532420155627728,0.7331480260926715,0.0009294320219906893
3-1,3.4020690871988597,0.0,0.0,0.0,5.892556509887897,2.9462782549439477,2.9462782549439477,0.04468731064939781,0.4516452913992596,0.5419856017365333,0.0009384189228051796
3-3,5.641693336552752,2.9462782549439477,0.0,0.0,4.811252243246881,0.0,0.0,0.04392932814477301,0.2759597694274517,0.3768192496590117,0.0008998250464252189
3-5,5.892556509887896,0.0,0.0,0.0,2.946278254943949,2.9462782549439477,4.811252243246881,0.05164197014458207,0.014450913536476212,0.7660424189653735,0.0008728381301199686
3-7,7.414637675021746,5.64169333655275,3.4020690871988584,0.0,2.9462782549439477,0.0,2.9462782549439477,0.025869846915410385,0.1760067653987416,0.3206477337138089,0.0009163311442111513
3-9,2.946278254943947,3.4020690871988584,2.9462782549439477,0.0,0.0,0.0,3.4020690871988584,0.02261429806136316,0.39246693893679707,0.5507307855460306,0.000919980143484168
3-11,2.9462782549439464,3.4020690871988584,0.0,0.0,3.4020690871988584,0.0,5.641693336552751,0.029380098120790794,0.24159604041760138,0.5924811816566706,0.0008480415084986698
3-13,8.333333333333334,0.0,0.0,0.0,5.641693336552751,0.0,2.9462782549439477,0.06316963854847611,0.31090868621821455,0.865217722412068,0.0009161757964761709
3-15,2.9462782549439464,3.4020690871988584,0.0,0.0,4.811252243246881,0.0,2.9462782549439477,0.03189044922561099,0.41499025168262677,0.47518508144249827,0.0008853663989593915
Avg,5.187258686433785,2.2403959342731783,1.95226470495097,0.5524271728019902,4.2000872876838455,0.5809140998179221,3.1454289406097153,0.04401379303383949,0.2729299209910065,0.5298753668123046,0.0008770982409347089
