,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.27969841957092284,0.3871185302734375,18.933333333333334,0.1585795983459447
2-3,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.4081402122974396,0.1515960693359375,22.18,0.16337325038581058
2-5,66.66666666666666,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.31349434331059456,0.8821182250976562,18.566666666666666,0.1637517148836901
2-7,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.3926588535308838,0.43135986328125,19.880000000000003,0.1629374357103144
2-9,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.28335570096969603,0.1394378662109375,20.0,0.161981188030996
2-11,66.66666666666666,16.666666666666664,16.666666666666664,0.0,0.0,0.0,0.0,0.4814463257789612,0.09737396240234375,19.458333333333336,0.16417007192693153
2-13,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.3816557765007019,0.1547882080078125,19.380000000000003,0.16269310958087713
2-15,66.66666666666666,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.28641830012202263,0.051280975341796875,20.066666666666666,0.1620115222463564
3-1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31243792176246643,0.0376334183383733,26.36111111111111,0.16198219527096885
3-3,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.36023713648319244,0.1428548248950392,21.058333333333334,0.16199877797340861
3-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3102269594868024,0.8413223220656315,20.977777777777778,0.16195642034212748
3-7,50.0,0.0,0.0,0.0,33.33333333333333,0.0,16.666666666666664,0.40461882452170056,0.028446826773385208,22.100000000000005,0.1613965146003231
3-9,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.2248956561088562,0.4392878420650959,24.006666666666668,0.1609313583770287
3-11,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.30052160024642943,0.07832640931010246,25.23333333333333,0.16102162298962663
3-13,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.18897656071931124,0.07464599607919808,24.025,0.16223394739938535
3-15,50.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,16.666666666666664,0.3851528565088908,1.8193640196695924,25.744444444444444,0.15857997035490534
Avg,76.04166666666666,1.0416666666666665,3.1249999999999996,0.0,9.374999999999998,0.0,10.416666666666664,0.33212096549492953,0.35980970994672434,21.748229166666665,0.16184991865116843
