,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,83.33333333333334,4.166666666666666,0.0,0.0,4.166666666666666,0.0,8.333333333333332,0.35484632986287273,0.4484215418497721,21.019583333333333,0.1591696253519556
2-3,75.0,4.166666666666666,4.166666666666666,0.0,16.666666666666664,0.0,0.0,0.33677606297036006,0.41829643249511717,19.980555555555554,0.16061376593844368
2-5,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.39393505845218896,0.5014156341552735,19.406388888888888,0.16173273188757867
2-7,91.66666666666667,0.0,0.0,0.0,4.166666666666666,0.0,4.166666666666666,0.3686584724734227,0.30770365397135413,20.194166666666668,0.1614219385215193
2-9,54.166666666666664,0.0,0.0,0.0,20.83333333333333,0.0,24.999999999999993,0.2880947145633399,1.3758355458577476,20.185416666666665,0.16056023293280636
2-11,58.33333333333333,8.333333333333332,16.666666666666664,0.0,4.166666666666666,0.0,12.499999999999998,0.3854462144275506,0.5582154591878254,20.40416666666667,0.1613624402068762
2-13,58.333333333333336,8.333333333333332,4.166666666666666,0.0,20.83333333333333,0.0,8.333333333333332,0.3869589415689309,0.08409067789713541,20.00888888888889,0.1598300510209499
2-15,58.33333333333333,8.333333333333332,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.26286703596512473,0.23445065816243485,19.505555555555553,0.16015965248061112
3-1,87.5,0.0,0.0,0.0,0.0,4.166666666666666,8.333333333333332,0.28407991056640935,0.7636095420554435,23.322222222222223,0.1593655996235171
3-3,75.0,0.0,4.166666666666666,0.0,8.333333333333332,0.0,12.499999999999998,0.36482749953866006,0.33902310803144553,21.62013888888889,0.15971280926674902
3-5,87.5,0.0,0.0,0.0,4.166666666666666,0.0,8.333333333333332,0.36496000147114194,0.4247835446925213,22.763055555555557,0.15997935129461494
3-7,62.49999999999999,0.0,4.166666666666666,0.0,12.499999999999998,0.0,20.83333333333333,0.4241661705697576,0.37774500784386567,23.016666666666666,0.15898171223526375
3-9,79.16666666666667,0.0,0.0,0.0,0.0,0.0,20.83333333333333,0.26302736960351464,0.2438560931632916,23.640277777777776,0.15941487934094112
3-11,75.0,0.0,8.333333333333332,0.0,0.0,0.0,16.666666666666664,0.34059970341622825,0.06051441213348875,24.722500000000004,0.15953229830570756
3-13,75.0,0.0,0.0,0.0,8.333333333333332,0.0,16.666666666666664,0.22259240620769558,0.24936966881723488,23.12625,0.16093220508074402
3-15,62.5,0.0,8.333333333333332,0.0,4.166666666666666,0.0,24.999999999999996,0.28970014213894807,0.8177360915966952,24.797777777777778,0.15978243220424662
Avg,72.91666666666666,2.083333333333333,4.166666666666666,0.0,7.812499999999998,0.26041666666666663,12.760416666666664,0.33322100211225913,0.45031669199441543,21.732100694444444,0.1601594828557828
