,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,4.811252243246884,2.9462782549439477,0.0,0.0,2.9462782549439477,0.0,3.4020690871988584,0.03370759117200975,0.14998311080807314,0.5456071149119963,0.0007838601011057272
2-3,10.206207261596578,2.9462782549439477,2.9462782549439477,0.0,4.811252243246881,0.0,0.0,0.0254102664487777,0.12735892200045398,0.5646206253913191,0.0009397864227666669
2-5,4.811252243246884,0.0,0.0,0.0,4.811252243246881,0.0,0.0,0.022636824144957633,0.11319046497331033,0.3364677286269934,0.0008098873164297006
2-7,3.402069087198857,0.0,0.0,0.0,2.9462782549439477,0.0,2.9462782549439477,0.02318629032103431,0.09551348763348683,0.16119454257373403,0.0008485832033597445
2-9,10.063456073742667,0.0,0.0,0.0,5.64169333655275,0.0,5.892556509887896,0.00493053568676723,0.9001399727046839,0.5237549997551506,0.0009328957994060996
2-11,3.402069087198857,3.4020690871988584,0.0,0.0,2.9462782549439477,0.0,5.641693336552749,0.03172591477503402,0.19494979690559378,0.39490754309406745,0.001044497724254292
2-13,5.892556509887899,5.892556509887895,2.9462782549439477,0.0,2.9462782549439477,0.0,5.892556509887895,0.042396692936362106,0.01923848978892575,0.20432665689050258,0.0007933594523123624
2-15,3.402069087198857,3.4020690871988584,0.0,0.0,0.0,0.0,0.0,0.02885339686231438,0.06983598953674258,0.19262375104078047,0.0008320872619757198
3-1,8.838834764831844,0.0,0.0,0.0,0.0,2.9462782549439477,5.892556509887895,0.013826420914071068,0.31118711255784315,0.7737644472015278,0.0008239243678420417
3-3,7.607257743127309,0.0,2.9462782549439477,0.0,3.4020690871988584,0.0,5.641693336552749,0.010350904948734798,0.18682130053802293,0.5567275687234735,0.0009801306680147805
3-5,5.641693336552752,0.0,0.0,0.0,2.9462782549439477,0.0,3.4020690871988584,0.030907586097175897,0.14724485453465153,0.47995556367959324,0.001080658111484463
3-7,2.9462782549439464,0.0,2.9462782549439477,0.0,5.641693336552749,0.0,2.9462782549439477,0.02940973938370196,0.14188740246930776,0.4563530451874423,0.0006713360201020843
3-9,7.414637675021744,0.0,0.0,0.0,0.0,0.0,7.414637675021744,0.01284865991612084,0.06423789951938859,0.5466452471526367,0.0008469792821792025
3-11,3.402069087198863,0.0,5.892556509887895,0.0,0.0,0.0,4.811252243246881,0.013315653652531375,0.0043286124425238525,0.25909765962320463,0.0008687989682565615
3-13,3.402069087198863,0.0,0.0,0.0,3.4020690871988584,0.0,0.0,0.011118068121164584,0.0930782957309767,0.2645560462744526,0.0008251742255048579
3-15,5.641693336552752,0.0,3.4020690871988584,0.0,2.9462782549439477,0.0,3.4020690871988584,0.0398943027933426,0.2874667934461749,0.36106324469082524,0.0006812440708522116
Avg,5.680341554921597,1.1618281996358442,1.317483663553909,0.0,2.8367311789787917,0.18414239093399673,3.5803568682826428,0.023407428010881266,0.181653906599385,0.41385411155110624,0.0008602001872404072
